country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,6.78,8.68,26.4,-6.81,2.18,11.8,6.44,7.39,4.67,-0.662,4.38,4.98,0.626,2.3
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,85,22.6,7.79,12.7,33.2,20.6,0.389,0.05,3.11,7.77,0.484,2.28,2.37,2.37,2.93,3.36,2.23,3.62,3.43,2.03,1.94,1.63,1.9,1.28,1.99,2.03,1.41
Algeria,,,,,,,,,,,6.6,2.63,3.66,6.17,4.7,8.23,9.43,12,17.5,11.3,9.52,14.7,6.54,5.97,8.12,10.5,12.4,7.44,5.91,9.3,16.7,25.9,31.7,20.5,29,29.8,18.7,5.73,4.95,2.65,0.339,4.23,1.42,4.27,3.96,1.38,2.31,3.68,4.86,5.74,3.91,4.52,8.89,3.25,2.92,4.78,6.4,5.59,4.27,1.95
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.772,1.4,2.41,1.99,2.03,2.1,1.79,1.42,5.33,-0.55,3.37,3.46,3.38,1.06,1.09,0.969,-0.489,2.43,1.21,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370,176,18.7,14,8.67,0.648,-0.791,3.15,1.06,4.72,6.96,0.639,2.89,4.41,8.95,3.41,8.18,7.65,2.56,5.79,2.98,3.73,-1.4,0.97,2.52,1.44
Australia,3.73,2.29,-0.319,0.641,2.87,3.41,3.29,3.48,2.52,3.28,3.44,6.14,6.02,9.09,15.4,15.2,13.3,12.3,8,9.12,10.1,9.49,11.4,10,3.96,6.73,9.05,8.53,7.22,7.53,7.33,3.18,1.01,1.75,1.97,4.63,2.62,0.225,0.86,1.48,4.46,4.41,2.98,2.73,2.34,2.69,3.56,2.33,4.35,1.77,2.92,3.3,1.76,2.45,2.49,1.51,1.28,1.95,1.91,1.61
Austria,1.95,3.54,4.38,2.71,3.87,4.93,2.05,3.97,2.76,3.08,4.37,4.7,6.36,7.53,9.52,8.45,7.32,5.49,3.57,3.71,6.33,6.8,5.44,3.34,5.66,3.19,1.71,1.4,1.92,2.57,3.26,3.34,4.02,3.63,2.95,2.24,1.86,1.31,0.922,0.569,2.34,2.65,1.81,1.36,2.06,2.3,1.44,2.17,3.22,0.506,1.81,3.29,2.49,2,1.61,0.897,0.892,2.08,2,1.53
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.6,1130,1660,412,19.8,3.67,-0.773,-8.53,1.81,1.55,2.77,2.23,6.71,9.68,8.33,16.7,20.8,1.46,5.73,7.85,1.07,2.42,1.39,4.01,12.4,12.9,2.26,2.61
Bahamas,,,,,,,,5.44,4.54,8.94,6.15,4.61,6.83,5.48,13.1,10.4,4.26,3.19,6.11,9.09,12.1,11.1,6.01,4,3.97,4.61,5.43,5.76,4.4,5.39,4.67,7.11,5.74,2.72,1.4,2.07,1.38,0.544,1.34,1.25,1.61,2.04,2.17,3.03,0.982,1.59,2.39,2.49,4.49,2.06,1.34,3.2,1.97,1.03,47.8,-30.2,-0.33,1.5,2.27,2.49
Bahrain,,,,,,,2.13,4.26,3.26,-0.194,1.63,5.79,5.09,14.3,24.4,16.2,22.5,17.7,15.8,2.21,3.87,11.3,8.89,2.97,0.322,-2.64,-2.3,-1.75,0.303,1.49,0.929,0.764,-0.172,2.54,0.817,2.7,-0.452,2.43,-0.367,-1.29,-0.705,-1.21,-0.496,1.59,2.35,2.59,2.01,3.26,3.53,2.8,1.96,-0.401,2.76,3.3,2.65,1.84,2.8,1.39,2.08,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.87,7.41,6.05,6.13,6.36,3.63,3.01,5.31,10.3,2.38,5.31,8.4,6.11,2.21,2.01,3.33,5.67,7.59,7.05,6.77,9.11,8.9,5.42,8.13,11.4,6.22,7.53,6.99,6.19,5.51,5.7,5.54,5.59
Barbados,,,,,,,,3.63,7.49,5.84,7.28,7.47,11.9,16.9,38.9,20.3,4.99,8.35,9.48,13.2,14.4,14.6,10.3,5.23,4.69,3.92,1.33,3.31,4.86,6.19,3.07,6.26,6.09,1.11,0.0772,1.88,2.39,7.71,-1.27,1.56,2.44,2.58,0.125,1.62,1.39,6.08,7.31,4.03,8.11,3.64,5.82,9.43,4.53,1.81,1.77,-1.11,1.28,4.66,3.67,4.1
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,2220,709,52.7,63.9,72.9,294,169,61.1,42.5,28.4,18.1,10.3,7,8.43,14.8,12.9,7.74,53.2,59.2,18.3,18.1,13.5,11.8,6.03,4.87,5.6
Belgium,0.299,0.993,1.4,2.15,4.17,4.07,4.17,2.73,2.7,3.75,3.91,4.34,5.45,6.96,12.7,12.8,9.07,7.1,4.47,4.47,6.65,7.63,8.73,7.66,6.34,4.87,1.29,1.55,1.16,3.11,3.45,3.22,2.43,2.75,2.38,1.47,2.08,1.63,0.949,1.12,2.54,2.47,1.65,1.59,2.1,2.78,1.79,1.82,4.49,-0.0532,2.19,3.53,2.84,1.11,0.34,0.561,1.97,2.13,2.05,1.44
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441,38.5,14.5,4.91,3.47,5.75,0.327,4.17,3.98,2.49,1.49,0.874,5.36,3.78,1.3,7.95,0.896,2.21,2.7,6.74,0.429,-0.549,0.219,-0.794,1.77,0.849,-0.916
Bhutan,,,,,,,,,,,,,,,,,,,,,,9.93,9.9,18,7.03,1.88,9.95,6.37,10.1,8.78,10,12.3,16,11.2,6.99,9.5,8.79,6.51,10.6,6.78,4.01,3.41,2.48,1.57,-18.1,5.31,5,5.16,8.33,4.36,7.04,8.85,10.9,7.01,8.27,4.55,3.22,4.96,2.72,2.73
Bolivia,11.5,7.56,5.88,-0.706,10.2,2.86,6.95,11.2,5.47,2.21,3.96,3.67,6.51,31.5,62.8,7.98,4.49,8.11,10.4,19.7,47.2,32.1,124,276,1280,11700,276,14.6,16,15.2,17.1,21.4,12.1,8.53,7.87,10.2,12.4,4.71,7.67,2.16,4.61,1.59,0.928,3.34,4.44,5.39,4.28,8.71,14,3.35,2.5,9.88,4.52,5.74,5.77,4.06,3.62,2.82,2.27,1.84
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,1.5,7.43,-0.381,2,3.67,2.05,-0.093,-0.897,-1.04,-1.58,0.81,1.42,0.563
Botswana,,,,,,,,,,,,,,,,12,11.7,13.2,9.04,11.7,13.6,16.4,11.1,10.5,8.58,8.09,10,9.8,8.35,11.6,11.4,11.8,16.2,14.3,10.5,10.5,10.1,8.72,6.66,7.75,8.6,6.56,8.03,9.19,6.95,8.61,11.6,7.08,12.7,8.03,6.95,8.46,7.54,5.88,4.4,3.06,2.81,3.31,3.24,2.77
Brazil,,,,,,,,,,,,,,,,,,,,,,102,101,135,192,226,147,228,629,1430,2950,433,952,1930,2080,66,15.8,6.93,3.2,4.86,7.04,6.84,8.45,14.7,6.6,6.87,4.18,3.64,5.68,4.89,5.04,6.64,5.4,6.2,6.33,9.03,8.74,3.45,3.66,3.73
Brunei,,,,,,,,,,,,,,,,,,,,,,9.14,6.36,1.17,3.07,2.35,1.78,1.25,1.19,1.3,2.14,1.6,1.28,4.25,2.46,5.97,2,1.71,-0.441,-0.416,1.56,0.596,-2.31,0.3,0.814,1.24,0.16,0.968,2.08,1.04,0.357,0.138,0.112,0.389,-0.207,-0.488,-0.279,-1.26,1.03,-0.391
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.73,2.37,6.39,23.8,338,91.3,72.9,96.1,62.1,122,1060,18.7,2.57,10.3,7.36,5.81,2.35,6.15,5.04,7.26,8.4,12.3,2.75,2.44,4.22,2.95,0.89,-1.42,-0.105,-0.799,2.06,2.81,3.1
Burkina Faso,7.79,18.6,1.68,5.57,1.85,-0.73,2.36,-4.33,-0.287,9.66,1.77,2.06,-2.92,7.6,8.72,18.8,-8.4,30,8.27,15,12.2,7.56,12.1,8.15,4.85,6.91,-2.61,-2.68,4.26,-0.482,-0.504,2.16,-1.99,0.553,25.2,7.46,6.1,2.32,5.08,-1.07,-0.304,5.01,2.18,2.03,-0.4,6.42,2.33,-0.231,10.7,2.61,-0.764,2.76,3.82,0.534,-0.258,0.725,0.441,1.48,1.96,-3.23
Burundi,,,,,,,4.44,-1.09,6.06,4.02,-0.2,3.85,3.83,6.01,15.7,15.7,6.86,6.83,23.9,36.5,2.5,12.2,5.87,8.15,14.3,3.8,1.68,7.11,4.49,11.7,7,9,1.82,9.68,14.9,19.3,26.4,31.1,12.5,3.39,24.4,9.3,-1.37,10.6,8.18,13.3,2.75,8.41,24.4,10.6,6.49,9.59,18.2,7.94,4.41,5.54,5.56,16.1,-2.81,-0.687
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.799,7.15,7.96,14.8,4.01,-0.792,-0.601,3.23,1.21,3.92,6.35,6.14,7.67,25,-0.661,4,5.48,2.93,2.94,3.86,1.22,3.05,2.89,2.46,
Cameroon,,,,,,,,,,-1.1,5.86,4.01,8.09,10.4,17.2,13.6,9.93,14.7,12.5,6.58,9.55,10.7,13.3,16.6,11.4,8.51,7.77,13.1,1.68,-1.67,1.1,0.06,-0.0161,-3.21,35.1,9.07,3.92,4.79,3.17,1.87,1.23,4.42,2.83,0.623,0.234,2.01,5.12,0.921,5.34,3.04,1.28,2.94,2.74,2.06,1.83,2.69,0.862,0.643,1.07,2.45
Canada,1.36,1.02,1.06,1.63,1.91,2.33,3.82,3.58,4.06,4.56,3.35,2.7,4.99,7.49,11,10.7,7.54,7.98,8.97,9.14,10.1,12.5,10.8,5.86,4.3,3.96,4.19,4.36,4.03,4.98,4.78,5.63,1.49,1.87,0.166,2.15,1.57,1.62,0.996,1.73,2.72,2.53,2.26,2.76,1.86,2.21,2,2.14,2.37,0.299,1.78,2.91,1.52,0.938,1.91,1.13,1.43,1.6,2.27,1.95
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,11.3,5.39,10.9,3.85,4.07,4.56,10.7,9.55,3.12,5.79,3.45,8.35,5.96,8.56,4.39,4.36,-2.48,3.35,1.88,1.19,-1.89,0.419,5.37,4.41,6.77,0.991,2.08,4.47,2.54,1.51,-0.239,0.131,-1.41,0.784,1.26,1.11
Chad,,,,,,,,,,,,,,,,,,,,,,,,,20.3,5.15,-13.1,-5.97,15.5,-3.69,-0.738,3.19,-3.11,-8.43,41.7,9.23,11.3,5.57,4.26,-8.03,3.82,12.4,5.19,-1.75,-5.36,7.89,8.04,-8.97,10.3,9.95,-2.08,2.03,7.52,0.223,1.68,4.38,-0.792,-1.54,4.27,-0.972
Chile,,,,,,,,,,,,20.1,77.8,353,505,375,212,92,40.1,33.4,35.1,19.7,9.94,27.3,19.9,30.7,19.5,19.9,14.7,17,26,21.8,15.4,12.7,11.4,8.23,7.36,6.13,5.11,3.34,3.84,3.57,2.49,2.81,1.05,3.05,3.39,4.41,8.72,0.353,1.41,3.34,3.01,1.79,4.72,4.35,3.79,2.18,2.43,2.56
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,18.8,18.2,3.05,3.56,6.35,14.6,24.3,16.8,8.31,2.79,-0.773,-1.4,0.348,0.719,-0.732,1.13,3.82,1.78,1.65,4.82,5.93,-0.728,3.18,5.55,2.62,2.62,1.92,1.44,2,1.59,2.07,2.9
Colombia,5.81,8.28,4.7,26.4,17.1,7.59,16.7,8.33,7.45,6.98,6.91,12.1,12,22.6,22.6,25.2,18.9,34.1,17.5,24.2,26.6,27.5,24.7,19.5,16.4,24,18.9,23.3,28.1,25.9,29.1,30.3,27,22.4,22.8,20.9,20.8,18.5,18.7,10.9,9.22,7.97,6.35,7.13,5.9,5.05,4.29,5.55,7,4.2,2.27,3.42,3.17,2.02,2.9,4.99,7.51,4.31,3.24,3.53
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,3.53,3.8,4.47,3.01,3.37,4.47,1.7,4.36,3.35,1.84,6.31,-4.29,,,,,,
"Congo, Dem. Rep.",,,,,35.4,-2.73,15.8,36.9,53.3,6.18,8.03,5.78,15.8,15.6,29.5,28.7,80.4,68.9,48.8,101,46.6,35.4,36.7,76.5,52.2,23.8,44.4,78.7,71.1,104,81.3,2150,4130,1990,23800,542,492,199,29.1,285,514,360,31.5,12.9,3.99,21.3,13.1,16.9,17.3,2.8,7.1,15.3,9.72,0.808,1.24,0.744,2.89,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,0.444,1.03,-1.8,2.89,-1.68,-3.94,4.92,42.4,9.42,10,,,4.14,-0.882,0.056,4.38,-0.632,2.43,3.09,6.54,2.65,4.96,4.42,0.392,1.76,5.01,4.63,0.912,3.17,3.19,0.45,1.15,2.21
Costa Rica,0.79,2.43,2.68,2.93,3.32,-0.665,0.183,1.21,4.09,2.63,4.65,3.08,4.6,15.2,30.1,17.4,3.49,4.16,6.04,9.16,18.1,37,90.1,32.6,11.9,15.1,11.8,16.8,20.8,16.5,19,28.7,21.8,9.78,13.5,23.2,17.5,13.2,11.7,10,11,11.3,9.17,9.45,12.3,13.8,11.5,9.36,13.4,7.84,5.66,4.88,4.5,5.23,4.52,0.802,-0.0175,1.63,2.22,2.1
Cote d'Ivoire,,11.6,-1.34,0.943,0.618,2.61,4.19,2.29,5.35,4.45,8.21,-0.444,0.31,11.1,17.4,11.4,12.1,27.4,13.2,16.3,14.7,8.8,7.58,5.64,4.28,1.86,9.68,6.94,6.93,1.05,-0.806,1.68,4.23,2.16,26.1,14.3,2.48,4.02,4.61,0.702,2.53,4.36,3.08,3.3,1.46,3.89,2.47,1.89,6.31,1.02,1.23,4.91,1.3,2.58,0.449,1.25,0.723,0.686,0.359,-1.11
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,50,133,186,1400,500,122,625,1500,107,3.95,4.3,4.17,6.4,4.02,4.61,3.78,1.67,1.77,2.06,3.32,3.19,2.9,6.08,2.38,1.03,2.27,3.41,2.22,-0.215,-0.465,-1.13,1.13,1.5,0.772
