country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,9.52,39.6,29,31.4,35,25.2,22.8,15.1,18.5,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,4.89,3.81,3.8,5.62,,,,6.64,4.64,5.18,,,,,,,5.11,4.4,3.91,4.03,4.11,3.88,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,4.67,5.73,4.13,14.6,1.8,2.91,7.67,10.6,13.4,8.54,8.5,7.26,6.78,11.6,13.3,4.07,3.83,
Argentina,,,,,,,,,,,,,,,,,,,0.17,0.186,0.215,0.335,0.289,0.233,0.209,0.244,0.243,0.192,0.117,0.105,0.11,0.207,0.334,,,,,,,,,,0.677,0.539,0.52,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.84,3.52,5.7,2.7,6.74,5.53,4.61,3.06,,2.77,3.37,3.3,
Australia,0.438,0.39,0.408,0.703,0.751,0.576,0.405,0.272,0.276,0.156,0.262,0.359,0.313,1.17,1.23,1.26,0.896,0.869,0.962,0.949,1,0.863,0.768,0.878,0.821,0.775,0.788,0.364,0.181,0.00018,0.00032,0.00031,0.0004,0.00072,0.00083,0.0008,0.00083,0.00096,0.00113,0.00098,0.00092,0.00058,0.00083,0.0009,0.00084,
Austria,1.7,1.56,1.4,1.59,1.43,1.41,1.34,1.44,1.49,1.49,1.44,1.4,1.38,1.31,1.32,1.01,0.977,1,0.899,0.867,0.795,0.763,0.745,1.5,1.4,1.26,1.27,1.24,1.18,1.21,1.18,1.13,1.16,1.67,1.52,1.86,2.01,1.95,1.92,1.83,1.7,1.78,1.62,1.68,1.74,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,2.57,1.3,0.906,2.96,4.44,3.56,,,,,,,,,11.2,10.2,10.5,14.2,13.1,14.6,13.2,12.1,,
Bahamas,,,,,,,,,,,,,,,,,,,0.989,0.82,0.939,1.39,1.42,1.56,1.66,1.84,1.09,1.18,1.1,1.06,1.06,0.764,1.08,0.983,1.36,1.47,1.62,1.4,1.51,1.93,1.97,2.19,2.22,2.33,1.93,
Bahrain,,,,,,,,,6,7.16,8.16,8.44,7.65,6.4,6.63,5.27,4.45,4.42,4.62,3.47,3.99,3.64,3.72,2.66,2.35,2.47,2.86,3.1,2.05,2.74,4.59,3.53,2.08,,,,,,,,,,,,,
