country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,-0.0289,-0.0364,-0.0447,-0.0769,-0.0917,-0.102,-0.1,-0.0744,-0.0631,-0.0489,-0.0216,-0.0522,-0.0334,-0.0179,-0.00825,-0.016,-0.0165,-0.0316,-0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.157,-0.202,-0.233,-0.374,-0.422,-0.306,-0.354,-0.32,-0.337,-0.327,-0.301
Albania,,,,,,,,,,,,,,,,,,,,,0.00421,0.0152,-0.0466,-0.0271,-0.0204,-0.0229,-0.00425,-0.000997,-0.0294,-0.0288,-0.0863,-0.211,-0.838,-0.486,-0.291,-0.223,-0.217,-0.25,-0.252,-0.173,-0.232,-0.238,-0.266,-0.253,-0.226,-0.248,-0.238,-0.267,-0.268,-0.246,-0.206,-0.227,-0.186,-0.18,-0.19,-0.173,-0.169,-0.151,-0.137,-0.137
Algeria,-0.281,-0.213,-0.0102,-0.121,-0.0436,-0.0323,0.0133,0.018,-0.0105,-0.0428,-0.0708,-0.0922,-0.0528,-0.0609,0.0326,-0.0928,-0.0406,-0.112,-0.146,-0.0172,0.04,0.0371,0.0193,0.0214,-0.0176,-0.0316,-0.103,-0.0414,-0.071,-0.0987,-0.0149,0.0552,0.0145,-0.0136,-0.0352,-0.028,0.0582,0.0957,0.000623,0.0537,0.213,0.147,0.0987,0.144,0.144,0.231,0.269,0.222,0.193,-0.0058,0.0702,0.101,0.0838,0.0281,-0.0171,-0.134,-0.142,-0.106,-0.0672,-0.069
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268,0.00442,0.0887,0.0474,0.132,0.245,0.323,0.278,0.236,-0.0493,0.19,0.214,0.201,0.147,0.101,-0.0338,0.0288,0.0575,0.153,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,-0.0421,0.0303,0.0535,-0.162,-0.188,-0.33,-0.127,-0.0854,-0.147,-0.302,-0.226,-0.0458,-0.109,0.0103,0.0249,0.0417,0.0762,0.0247,-0.0646,-0.102,-0.0514,-0.033,-0.0737,-0.0381,-0.0515,-0.0572,-0.0843,-0.0635,-0.134,-0.234,-0.268,-0.239,-0.118,-0.135,-0.0911,-0.132,-0.148,-0.122,-0.051,-0.0542,,,
Argentina,0,0,-0.0469,0,0,0.0208,0.0166,0.025,0.0108,0,0.00866,-0.00601,0.0036,0.019,0.00614,-0.00155,0.0325,0.0229,0.0289,0.00181,-0.0142,-0.00451,0.0257,0.0332,0.0283,0.0546,0.0184,0.00297,0.0332,0.0648,0.0573,0.016,-0.0153,-0.024,-0.0307,-0.00411,-0.00649,-0.0221,-0.0252,-0.0173,-0.0065,0.0131,0.15,0.112,0.07,0.0594,0.0562,0.0438,0.0372,0.0506,0.029,0.0169,0.0195,-0.000996,0.00404,-0.0107,-0.0104,-0.0274,-0.0214,0.0219
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.113,-0.194,-0.214,-0.135,-0.338,-0.383,-0.327,-0.38,-0.338,-0.29,-0.279,-0.216,-0.183,-0.191,-0.167,-0.155,-0.167,-0.206,-0.26,-0.279,-0.251,-0.244,-0.208,-0.198,-0.185,-0.121,-0.0962,-0.122,-0.157,-0.144
Australia,-0.0107,-0.0262,0.0131,-0.00828,0.0117,-0.0205,-0.022,-0.0101,-0.0219,-0.0138,-0.00244,-0.00275,0.00852,0.0313,-0.000647,-0.00454,0.00139,-0.00631,-0.00966,-0.0105,0.00527,-0.0183,-0.0329,-0.0203,-0.0143,-0.0205,-0.0307,-0.016,-0.00661,-0.0183,-0.0193,-0.00133,0.00272,-0.00321,-0.00515,-0.0197,-0.00454,0.00275,-0.00879,-0.0245,-0.0216,0.000862,-0.0000809,-0.0211,-0.0271,-0.0274,-0.0182,-0.0164,-0.0255,0.00212,-0.0103,0.00966,-0.00249,-0.013,-0.00428,-0.0152,-0.0228,0.00616,0.00417,0.0258
Austria,,,,,,,,,,,-0.000769,-0.0031,-0.00435,-0.00618,-0.0134,-0.0041,-0.0241,-0.0437,-0.0144,-0.0156,-0.0344,-0.024,-0.00634,-0.0152,-0.0107,-0.00241,-0.000192,-0.000413,-0.00421,-0.00508,-0.000935,-0.00867,-0.0132,-0.00337,-0.0167,-0.0119,-0.0159,-0.00812,-0.00225,0.00454,0.0133,0.017,0.0369,0.0275,0.0294,0.0321,0.036,0.0439,0.0442,0.0335,0.035,0.0279,0.028,0.0282,0.0327,0.0375,0.0383,0.033,0.0372,0.0372
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0464,0.0445,0.316,-0.186,-0.0591,-0.209,-0.31,-0.24,-0.318,-0.139,0.0179,0.0418,-0.0728,-0.235,-0.239,0.1,0.277,0.396,0.423,0.285,0.336,0.323,0.277,0.222,0.171,0.0299,0.0278,0.0669,0.165,0.123
Bahamas,,,,,,,,,,,,,,,,,,0.165,0.151,0.0867,0.075,0.0501,0.0623,0.0855,0.0528,0.0552,0.0591,0.0552,,-0.0334,-0.018,-0.0422,-0.00968,0.00573,-0.0236,-0.0537,-0.0978,-0.0597,-0.0841,-0.0279,-0.0355,-0.0436,0.0207,0.00557,0.00428,-0.0388,-0.109,-0.0783,-0.0844,-0.0814,-0.0877,-0.135,-0.08,-0.0533,-0.112,-0.028,-0.0187,-0.0665,-0.0519,
Bahrain,,,,,,,,,,,,,,,,,,,,,0.0887,0.111,0.122,0.0373,0.0264,0.119,0.139,0.15,0.178,0.11,0.21,-0.106,-0.124,0.0315,0.0721,0.115,0.117,0.0957,0.00718,0.159,0.226,0.202,0.139,0.16,0.165,0.195,0.222,0.216,0.193,0.19,0.186,0.247,0.184,0.177,0.165,0.113,0.0878,0.0848,0.0773,
Bangladesh,0.00689,-0.00918,-0.000614,-0.0167,-0.0409,-0.037,-0.0237,-0.0329,-0.0328,-0.0352,-0.0419,-0.0444,-0.0806,-0.0532,-0.0665,-0.0521,-0.129,-0.0534,-0.0992,-0.0969,-0.124,-0.0899,-0.105,-0.0911,-0.1,-0.0745,-0.0665,-0.0671,-0.0682,-0.0724,-0.0715,-0.0556,-0.0476,-0.0509,-0.0486,-0.0648,-0.0666,-0.0528,-0.0437,-0.0487,-0.0463,-0.0532,-0.0415,-0.048,-0.0457,-0.0561,-0.0541,-0.0595,-0.073,-0.0621,-0.0575,-0.0758,-0.0779,-0.0722,-0.0653,-0.0741,-0.0465,-0.0523,-0.0864,-0.0611
Barbados,,,,,,,,,,,,,,,,-0.1,-0.183,-0.115,-0.103,-0.107,-0.0163,-0.0789,-0.0224,0.00973,0.0403,0.0653,0.00167,0.000613,0.0289,0.0145,-0.00242,-0.00854,0.0675,0.0449,0.0709,0.0183,0.0257,-0.0277,-0.0326,-0.0482,-0.0411,-0.0442,-0.055,-0.0418,-0.0867,-0.0799,-0.0636,-0.0202,-0.0505,-0.0222,-0.0299,-0.0453,-0.0455,-0.0392,-0.047,-0.0165,0.00998,0.0147,0.0158,0.00325
